,WaterElevation,Temp,Precipitation,Population,Date
1,656.6866667,48.87096774,5.08,1152000,1/1/1991
2,660.355,56.55357143,2.34,1152000,2/1/1991
3,655.345,63.9516129,1.06,1152000,3/1/1991
4,663.4,72.35,4.91,1152000,4/1/1991
5,663.45,77.64516129,5.3,1152000,5/1/1991
6,651.57,82.75,2.28,1152000,6/1/1991
7,651.01,84.53225806,2.23,1152000,7/1/1991
8,642.15,85.83870968,2.84,1152000,8/1/1991
9,649.81,77.8,1.42,1152000,9/1/1991
10,647.5,73.24193548,0.87,1152000,10/1/1991
11,651.875,57.36666667,0.47,1152000,11/1/1991
12,668.35,55.51612903,13.96,1152000,12/1/1991
13,683.1914286,50.72580645,5.64,1171000,1/1/1992
14,694.14,59.0862069,6.37,1171000,2/1/1992
15,696.5185714,63.33870968,6.12,1171000,3/1/1992
16,695.8733333,68.96666667,3.03,1171000,4/1/1992
17,696.0742857,73.66129032,8.15,1171000,5/1/1992
18,700.3366667,82.48333333,5.67,1171000,6/1/1992
19,692.8142857,84.67741935,1.28,1171000,7/1/1992
20,691.2966667,82.14516129,2.56,1171000,8/1/1992
21,688.6533333,81.68333333,1.12,1171000,9/1/1992
22,687.02,73.38709677,0.92,1171000,10/1/1992
23,690.2683333,57.23333333,3.47,1171000,11/1/1992
24,691.9114286,56.24193548,2.16,1171000,12/1/1992
25,691.3442857,51.12903226,1.31,1190000,1/1/1993
26,691.215,55.48214286,3.72,1190000,2/1/1993
27,690.2442857,61.4516129,1.56,1190000,3/1/1993
28,688.155,67.25,1.81,1190000,4/1/1993
29,691.14,73.87096774,12.47,1190000,5/1/1993
30,688.86,81.51666667,6.43,1190000,6/1/1993
31,683.5857143,86.0483871,0,1190000,7/1/1993
32,673.7242857,87.24193548,0.01,1190000,8/1/1993
33,673.8033333,81.5,0.52,1190000,9/1/1993
34,674.96,70.64516129,3.07,1190000,10/1/1993
35,678.075,56.26666667,0.66,1190000,11/1/1993
36,677.7433333,55.0483871,0.44,1190000,12/1/1993
37,676.47,52.30645161,1.55,1210000,1/1/1994
38,675.4516667,56.125,0.64,1210000,2/1/1994
39,675.9616667,63.85483871,5.06,1210000,3/1/1994
40,673.5,69.81666667,2.21,1210000,4/1/1994
41,676.7428571,76.03225806,7.01,1210000,5/1/1994
42,665.6133333,84.5,1.66,1210000,6/1/1994
43,656.88,87.82258065,0.5,1210000,7/1/1994
44,655.4033333,86.06451613,2.54,1210000,8/1/1994
45,663.84,78.38333333,5.52,1210000,9/1/1994
46,670.6566667,72.61290323,9.75,1210000,10/1/1994
47,674.5833333,64.73333333,0.71,1210000,11/1/1994
48,674.2266667,56.91935484,3.28,1210000,12/1/1994
49,675.6066667,53.46774194,0.28,1229000,1/1/1995
50,677.19,57.35714286,1.19,1229000,2/1/1995
51,672.34,61.83870968,1.58,1229000,3/1/1995
52,670.99,69.75,1.07,1229000,4/1/1995
53,661.6566667,78.62903226,5.36,1229000,5/1/1995
54,665.89,79.25,4.81,1229000,6/1/1995
55,662.79,84.27419355,0.7,1229000,7/1/1995
56,654.44,85.5,2.03,1229000,8/1/1995
57,655.5566667,80.1,4.49,1229000,9/1/1995
58,658.4566667,69.77419355,0.23,1229000,10/1/1995
59,662.4733333,59.48333333,0.82,1229000,11/1/1995
60,663.6566667,55.62903226,0.64,1229000,12/1/1995
61,662.4666667,51.0483871,0,1249000,1/1/1996
62,653.5157143,57.87931034,0.69,1249000,2/1/1996
63,653.5333333,57.62903226,0.3,1249000,3/1/1996
64,649.75,69.45,0.89,1249000,4/1/1996
65,639,81.88709677,1.26,1249000,5/1/1996
66,632.2166667,84.06666667,2.12,1249000,6/1/1996
67,631.4666667,87.32258065,1.31,1249000,7/1/1996
68,632.9833333,84.40322581,2.86,1249000,8/1/1996
69,643.5166667,78.43333333,3.66,1249000,9/1/1996
70,643.9,71.01612903,0.36,1249000,10/1/1996
71,645.7,61.3,2.79,1249000,11/1/1996
72,649.7833333,54.48387097,1.56,1249000,12/1/1996
73,650.85,49.11290323,0.44,1270000,1/1/1997
74,651.95,53.08928571,2.44,1270000,2/1/1997
75,656.6166667,63.24193548,2.24,1270000,3/1/1997
76,662.55,63.88333333,5.72,1270000,4/1/1997
77,663.1666667,73.9516129,3.91,1270000,5/1/1997
78,668.8833333,79.76666667,7.3,1270000,6/1/1997
79,671.7166667,85.01612903,0,1270000,7/1/1997
80,663.6,86.08064516,0.62,1270000,8/1/1997
81,661.75,82.18333333,1.86,1270000,9/1/1997
82,666.7333333,70.16129032,4.08,1270000,10/1/1997
83,668.7333333,57.31666667,1.76,1270000,11/1/1997
84,670.55,50.22580645,3.55,1270000,12/1/1997
85,673.05,56.41935484,3.21,1290000,1/1/1998
86,675.9166667,55.26785714,3.37,1290000,2/1/1998
87,679.2666667,59.74193548,2.85,1290000,3/1/1998
88,674.35,66.8,0.05,1290000,4/1/1998
89,655.8166667,80.06451613,0.34,1290000,5/1/1998
90,645.6166667,86.5,0.81,1290000,6/1/1998
91,645.0833333,88.35483871,0.21,1290000,7/1/1998
92,652.8333333,83.77419355,7.78,1290000,8/1/1998
93,662.5833333,80.66666667,1.57,1290000,9/1/1998
94,674.1666667,71.51612903,18.07,1290000,10/1/1998
95,688.5,62.63333333,3.4,1290000,11/1/1998
96,687.4,53,0.39,1290000,12/1/1998
97,684.9666667,54.80645161,0.04,1311000,1/1/1999
98,679.1166667,62.10714286,0.01,1311000,2/1/1999
99,678.0666667,62.93548387,3.48,1311000,3/1/1999
100,677.8333333,71.43333333,0.91,1311000,4/1/1999
101,673.95,76.35483871,2.78,1311000,5/1/1999
102,666.6333333,82.06666667,3.37,1311000,6/1/1999
103,673.115,83.09677419,1.8,1311000,7/1/1999
104,663.45,86.41935484,2.11,1311000,8/1/1999
105,660.635,80.56666667,0.05,1311000,9/1/1999
106,659.995,69.87096774,1.29,1311000,10/1/1999
107,662.685,63.26666667,0.05,1311000,11/1/1999
108,664.115,54.22580645,0.52,1311000,12/1/1999
109,664.83,55.5483871,1.4,1337000,1/1/2000
110,663.025,62.86206897,2.2,1337000,2/1/2000
111,659.6,67.19354839,0.91,1337000,3/1/2000
112,655.02,70.9,1.22,1337000,4/1/2000
113,650.765,78.80645161,3.59,1337000,5/1/2000
114,655.395,81.23333333,7.61,1337000,6/1/2000
115,644.445,86.09677419,0.34,1337000,7/1/2000
116,639.05,86.5483871,0.16,1337000,8/1/2000
117,643.23,81.16666667,2.65,1337000,9/1/2000
118,654.69,71.25806452,5.62,1337000,10/1/2000
119,673.2833333,57.13333333,8.58,1337000,11/1/2000
120,676.575,46.61290323,1.57,1337000,12/1/2000
121,678.4133333,49.41935484,2.85,1375000,1/1/2001
122,680.2333333,57.71428571,0.7,1375000,2/1/2001
123,681.21,56.77419355,2.77,1375000,3/1/2001
124,680.615,71,2.29,1375000,4/1/2001
125,678.335,76.51612903,2.48,1375000,5/1/2001
126,665.9133333,82.66666667,3.39,1375000,6/1/2001
127,661.6833333,85.64516129,0.5,1375000,7/1/2001
128,656.78,85.70967742,7.83,1375000,8/1/2001
129,675.2975,77.06666667,4.05,1375000,9/1/2001
130,675.66,68.12903226,2.06,1375000,10/1/2001
131,677.8466667,63.1,4.37,1375000,11/1/2001
132,684.4333333,54,3.43,1375000,12/1/2001
133,683.05,53.93548387,0.37,1414000,1/1/2002
134,680.34,51.10714286,0.42,1414000,2/1/2002
135,676.92,60.5483871,1.19,1414000,3/1/2002
136,676.2433333,73.46666667,3.82,1414000,4/1/2002
137,667.13,77.06451613,2.26,1414000,5/1/2002
138,655.9033333,83.2,1.48,1414000,6/1/2002
139,687.4666667,82.74193548,16.92,1414000,7/1/2002
140,683.1666667,85.4516129,0.54,1414000,8/1/2002
141,684.75,78.86666667,7.02,1414000,9/1/2002
142,NA,70.87096774,7.64,1414000,10/1/2002
143,NA,58.13333333,2.08,1414000,11/1/2002
144,694.7616667,53.96774194,2.53,1414000,12/1/2002
145,693.6483333,50,0.99,1454000,1/1/2003
146,692.716,53.32142857,2.15,1454000,2/1/2003
147,692.5566667,60.77419355,0.77,1454000,3/1/2003
148,688.314,70.63333333,0.17,1454000,4/1/2003
149,677.4216667,80.5483871,0.12,1454000,5/1/2003
150,678.2066667,82,2.9,1454000,6/1/2003
151,682.2775,82.19354839,8.12,1454000,7/1/2003
152,678.578,83.96774194,1.65,1454000,8/1/2003
153,681.92,76.9,9.21,1454000,9/1/2003
154,683.0833333,70.83870968,1.94,1454000,10/1/2003
155,681.595,63.43333333,0.32,1454000,11/1/2003
156,679.755,54.09677419,0.11,1454000,12/1/2003
157,679.705,54.77419355,2.31,1496000,1/1/2004
158,680.634,53.34482759,1.73,1496000,2/1/2004
159,681.5016667,66.16129032,2.35,1496000,3/1/2004
160,684.7183333,67.43333333,5.02,1496000,4/1/2004
161,686.02,76.32258065,1.8,1496000,5/1/2004
162,684.1433333,81.1,9.47,1496000,6/1/2004
163,689.24,83.25806452,0.61,1496000,7/1/2004
164,684.295,83.58064516,1.1,1496000,8/1/2004
165,684.5516667,80.73333333,1.92,1496000,9/1/2004
166,686.9728571,77.12903226,9.47,1496000,10/1/2004
167,696.1714286,61.36666667,9.46,1496000,11/1/2004
168,700.935,53.35483871,0.08,1496000,12/1/2004
169,696.66,56.12903226,2.18,1538000,1/1/2005
170,697.064,56.60714286,2.42,1538000,2/1/2005
171,698.726,61.61290323,2,1538000,3/1/2005
172,694.532,68.6,0.01,1538000,4/1/2005
173,689.81,75.16129032,2.97,1538000,5/1/2005
174,684.7216667,82.8,0.81,1538000,6/1/2005
175,678.7383333,85.5483871,2.1,1538000,7/1/2005
176,679.125,85.69354839,1.22,1538000,8/1/2005
177,NA,84.26666667,1.39,1538000,9/1/2005
178,677.92,70.91935484,1.14,1538000,10/1/2005
179,NA,64.9,0.2,1538000,11/1/2005
180,NA,53,0.1,1538000,12/1/2005
181,676.91,58.24193548,0.35,1582000,1/1/2006
182,673.56,55.94642857,0.62,1582000,2/1/2006
183,669.61,67.5483871,1.36,1582000,3/1/2006
184,663.94,76.7,1.4,1582000,4/1/2006
185,NA,78.72580645,3.8,1582000,5/1/2006
186,655.44,83.6,1.63,1582000,6/1/2006
187,NA,85.70967742,1.41,1582000,7/1/2006
188,647.675,88.30645161,0.03,1582000,8/1/2006
189,NA,79.68333333,4.11,1582000,9/1/2006
190,660.72,72.38709677,3.44,1582000,10/1/2006
191,663.815,63.8,0.75,1582000,11/1/2006
192,664.59,54.35483871,2.44,1582000,12/1/2006
193,669.5883333,48.25806452,4.33,1627000,1/1/2007
194,668.546,54.83928571,0.08,1627000,2/1/2007
195,668.9166667,65.01612903,7.24,1627000,3/1/2007
196,677.3916667,65.15,4.61,1627000,4/1/2007
197,678.4516667,75.46774194,3.35,1627000,5/1/2007
198,679.1866667,80.7,6.47,1627000,6/1/2007
199,692.2583333,80.40322581,11.76,1627000,7/1/2007
200,698.4216667,83.66129032,6.77,1627000,8/1/2007
201,698.4916667,80.23333333,1.09,1627000,9/1/2007
202,693.57,73.12903226,0.75,1627000,10/1/2007
203,691.54,62.7,0.4,1627000,11/1/2007
204,690.5783333,56.14516129,0.4,1627000,12/1/2007
205,688.6183333,51.83870968,0.42,1674000,1/1/2008
206,685.616,61.67241379,0.2,1674000,2/1/2008
207,684.06,64.48387097,1.82,1674000,3/1/2008
208,680.765,70.61666667,0.83,1674000,4/1/2008
209,673.285,80.11290323,0.66,1674000,5/1/2008
210,660.3583333,86.81666667,0.01,1674000,6/1/2008
211,667.92,84.06451613,3.86,1674000,7/1/2008
212,671.0333333,84.37096774,4.98,1674000,8/1/2008
213,672.005,79.46666667,0.46,1674000,9/1/2008
214,668.2666667,71.41935484,0.26,1674000,10/1/2008
215,667.845,63.65,0.01,1674000,11/1/2008
216,669.3666667,55,0.25,1674000,12/1/2008
217,669.37,54.51612903,0.27,1722000,1/1/2009
218,666.232,62.89285714,0.65,1722000,2/1/2009
219,665.2916667,65.14516129,2.51,1722000,3/1/2009
220,661.1133333,69.8,2.05,1722000,4/1/2009
221,655.01,79.48387097,1.57,1722000,5/1/2009
222,647.52,86.31666667,0.45,1722000,6/1/2009
223,643.7183333,88.74193548,0.48,1722000,7/1/2009
224,643.95,88.32258065,0.45,1722000,8/1/2009
225,650.9033333,78.41666667,6.35,1722000,9/1/2009
226,663.5016667,69.90322581,11.9,1722000,10/1/2009
227,668.9366667,60.65,2.09,1722000,11/1/2009
228,670.4066667,48.27419355,1.92,1722000,12/1/2009
229,672.6566667,49.70967742,4.45,1771000,1/1/2010
230,681.07,49.35714286,4.38,1771000,2/1/2010
231,679.755,59.33870968,2.09,1771000,3/1/2010
232,679.4316667,68.56666667,3.57,1771000,4/1/2010
233,679.845,77.4516129,4.48,1771000,5/1/2010
234,676.0033333,83.53333333,4.24,1771000,6/1/2010
235,675.0666667,84.03225806,3.68,1771000,7/1/2010
236,668.685,87.48387097,0.07,1771000,8/1/2010
237,678.96,80.06666667,9.37,1771000,9/1/2010
238,676.83,70.24193548,0.17,1771000,10/1/2010
239,674.6583333,62.05,0.26,1771000,11/1/2010
240,671.9683333,53.82258065,0.63,1771000,12/1/2010
241,673.19,50.5,2.66,1821000,1/1/2011
242,671.374,55.44642857,0.49,1821000,2/1/2011
243,665.6033333,66.83870968,0.01,1821000,3/1/2011
244,658.6433333,75.66666667,0.03,1821000,4/1/2011
245,652.8466667,78.64516129,0.84,1821000,5/1/2011
246,643.3983333,86.21666667,1.58,1821000,6/1/2011
247,643.8083333,87.85483871,0.96,1821000,7/1/2011
248,641.8116667,89.98387097,0.15,1821000,8/1/2011
249,643.5283333,82.86666667,2.93,1821000,9/1/2011
250,649.6733333,71,3.28,1821000,10/1/2011
251,648.2816667,62.88333333,1.81,1821000,11/1/2011
252,652.46,53.83870968,2.84,1821000,12/1/2011
253,653.865,56.17741935,3.99,1873000,1/1/2012
254,662.564,57.43103448,5.63,1873000,2/1/2012
255,664.2766667,66.37096774,3.24,1873000,3/1/2012
256,656.9016667,73.85,0.04,1873000,4/1/2012
257,656.015,78.09677419,9.84,1873000,5/1/2012
258,646.1533333,84.76666667,0.11,1873000,6/1/2012
259,645.835,85.35483871,3.79,1873000,7/1/2012
260,641.025,87.24193548,2.41,1873000,8/1/2012
261,644.5633333,79.58333333,7.31,1873000,9/1/2012
262,648.5783333,70.74193548,2.4,1873000,10/1/2012
263,648.5533333,63.23333333,0.27,1873000,11/1/2012
264,651.0316667,57.08064516,0.37,1873000,12/1/2012
265,654.4883333,53.90322581,2.83,1926000,1/1/2013
266,653.004,59.01785714,0.1,1926000,2/1/2013
267,648.1683333,62.72580645,0.95,1926000,3/1/2013
268,647.5733333,67.03333333,2.77,1926000,4/1/2013
269,649.5516667,74.93548387,13.19,1926000,5/1/2013
270,651.25,82.96666667,2.02,1926000,6/1/2013
271,640.83,84.80645161,0.73,1926000,7/1/2013
272,634.2733333,87.22580645,0.85,1926000,8/1/2013
273,635.03,82.16666667,3.7,1926000,9/1/2013
274,638.3983333,73.29032258,2.81,1926000,10/1/2013
275,641.3366667,59.56666667,1.5,1926000,11/1/2013
276,639.8916667,51.74193548,0.55,1926000,12/1/2013
277,643.0833333,51.25806452,0.23,1981000,1/1/2014
278,642.615,56.03571429,0.42,1981000,2/1/2014
279,642.1233333,60.09677419,1.06,1981000,3/1/2014
280,638.2233333,70.46666667,0.68,1981000,4/1/2014
281,636.7233333,74.87096774,4.97,1981000,5/1/2014
282,639.81,82.2,5.38,1981000,6/1/2014
283,635.2233333,83.87096774,3.25,1981000,7/1/2014
284,628.4066667,86.77419355,0.08,1981000,8/1/2014
285,629.14,80.5,1.77,1981000,9/1/2014
286,630.3233333,75.58064516,1.91,1981000,10/1/2014
287,637.49,57.56666667,7.21,1981000,11/1/2014
288,635.0233333,56.41935484,1.24,1981000,12/1/2014
289,640.65125,48.80645161,3.67,2038000,1/1/2015
290,644.97125,53.31034483,0.53,2038000,2/1/2015
291,646.1975,60.70967742,2.97,2038000,3/1/2015
292,648.0511111,70.87096774,7.54,2038000,4/1/2015
293,655.0433333,75.64516129,8.57,2038000,5/1/2015
294,667.5525,80.83333333,6.42,2038000,6/1/2015
295,663.1677778,84.375,0.07,2038000,7/1/2015
296,648.5475,86.09677419,0.29,2038000,8/1/2015
297,646.27,81.9,2.32,2038000,9/1/2015
298,646.53375,75.41935484,7.78,2038000,10/1/2015
299,661.7566667,63.16129032,2.58,2038000,11/1/2015
300,666.1666667,57.64516129,1.48,2038000,12/1/2015
301,667.218,51.29032258,1.38,2096000,1/1/2016
302,663.6216667,58.65517241,1.55,2096000,2/1/2016
303,665.3114286,65.5483871,3.56,2096000,3/1/2016
304,665.4675,69.56666667,6.19,2096000,4/1/2016
305,674.28625,74.40625,9.14,2096000,5/1/2016
306,680.66625,80.76666667,2.39,2096000,6/1/2016
307,667.80875,85.22580645,0.33,2096000,7/1/2016
308,668.9414286,82.5483871,4.91,2096000,8/1/2016
309,675.61375,80.63333333,6.3,2096000,9/1/2016
310,675.94,73.70967742,0.16,2096000,10/1/2016
311,679.0871429,66.13333333,1.79,2096000,11/1/2016
312,685.30875,55.58064516,6.22,2096000,12/1/2016
313,684.6942857,56.93548387,2.72,2156000,1/1/2017
314,684.8466667,63.67857143,3.61,2156000,2/1/2017
315,685.1611111,66.9375,2.09,2156000,3/1/2017
316,680.4314286,71,2.89,2156000,4/1/2017
317,672.16,75.28125,1.76,2156000,5/1/2017
318,668.759,82.09677419,0.4,2156000,6/1/2017
319,657.13125,86.19354839,0.16,2156000,7/1/2017
320,660.88875,83.48387097,5.87,2156000,8/1/2017
321,660.09,78.56666667,2.8,2156000,9/1/2017
322,663.6888889,70.21875,0.46,2156000,10/1/2017
323,662.4857143,65.83333333,0.53,2156000,11/1/2017
324,664.6742857,53.0625,4.04,2156000,12/1/2017
325,664.4471429,48.5483871,0.28,2217000,1/1/2018
326,664.7514286,57.5,1.91,2217000,2/1/2018
327,664.69,66.29032258,4.02,2217000,3/1/2018
328,664.8325,67.36666667,0.36,2217000,4/1/2018
329,659.21375,79.16129032,0.97,2217000,5/1/2018
330,646.86375,84.5483871,0.71,2217000,6/1/2018
331,648.8322222,84.90322581,4.87,2217000,7/1/2018
332,643.6125,85.06451613,0.62,2217000,8/1/2018
333,664.52,78.16666667,16.86,2217000,9/1/2018
334,679.2942857,68.87096774,6.47,2217000,10/1/2018
335,684.91,56.36666667,1.78,2217000,11/1/2018
336,685.67625,53.70967742,2.35,2217000,12/1/2018
337,686.74875,51.93548387,1.63,2269000,1/1/2019
338,685.0433333,56.85714286,0.47,2269000,2/1/2019
339,682.99,60.4516129,0.46,2269000,3/1/2019
340,680.2857143,68.32258065,3.47,2269000,4/1/2019
341,682.59375,76.125,3.3,2269000,5/1/2019
342,680.8325,80.83333333,5.51,2269000,6/1/2019
343,678.5911111,83.93939394,0.14,2269000,7/1/2019
344,667.31,87.16129032,0.31,2269000,8/1/2019
345,665.75875,84.23333333,1.45,2269000,9/1/2019
346,668.493,71.34375,4.02,2269000,10/1/2019
347,673.51625,58.1,0.74,2269000,11/1/2019
348,672.155,54.93548387,0.52,2269000,12/1/2019
349,672.0666667,57.83870968,1.87,2320000,1/1/2020
350,673.12,55.4137931,1.07,2320000,2/1/2020
351,671.6333333,68.35483871,1.52,2320000,3/1/2020
352,671.2,69.66666667,2.89,2320000,4/1/2020
353,665.05,77.77419355,5.83,2320000,5/1/2020
354,664.7166667,82.06666667,0.86,2320000,6/1/2020
355,656.5333333,86.83870968,0.16,2320000,7/1/2020
356,656.5166667,86.90322581,0.9,2320000,8/1/2020
357,662.2666667,78.06666667,3.09,2320000,9/1/2020
358,660.1,71.74193548,0.23,2320000,10/1/2020
359,659.4833333,65.6,1.47,2320000,11/1/2020
360,662.0333333,54.12903226,0.81,2320000,12/1/2020
