"Monthly Time Series Summary of Max Temperature (1930 - 2025), Stn: 12909"

Station:,SAN ANTONIO KELLY FIELD AFB,State:,TX,ID:,12909
Latitude:,29.38333 degreeN,Longitude:,98.58333 degreeW,Elevation:,690.0 feet
Station period of record:,maxt: 01/01/1949-06/04/2025

index,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Annual
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,M,M,M,M,M,M,M
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,M,M,M,M,M,M,M,M,M,M,M,M
1944,M,M,M,M,M,M,M,M,M,M,M,M,M
1945,M,M,M,M,M,M,M,M,M,M,M,M,M
1946,M,M,M,M,M,M,M,M,M,M,M,M,M
1947,M,M,M,M,M,M,M,M,M,M,M,M,M
1948,M,M,M,M,M,M,M,M,M,M,M,M,M
1949,57.7,66.3,73.8,75.3,87.9,91.8,93.8,95.2,92.5,81.7,78.7,65.7,80.2
1950,68.6,69.6,75.0,78.3,87.9,92.2,95.9,95.6,91.5,88.8,75.0,69.9,82.4
1951,66.5,68.0,75.3,83.0,86.6,92.9,98.5,99.7,91.9,85.0,70.1,69.7,82.4
1952,71.4,72.0,72.4,77.7,86.0,92.3,95.3,99.8,89.3,81.6,69.0,62.9,80.9
1953,71.4,67.8,80.0,82.6,88.6,98.2,98.3,95.8,91.9,82.6,71.3,60.6,82.5
1954,66.5,76.3,76.0,83.8,86.3,93.8,98.1,98.9,94.6,84.2,73.6,70.6,83.6
1955,64.0,66.7,77.8,85.6,90.4,93.9,94.9,95.5,91.8,84.7,70.4,66.9,82.0
1956,64.1,70.2,76.5,80.9,89.1,95.4,97.1,96.1,91.7,85.1,69.4,69.0,82.1
1957,62.2,71.9,72.8,76.4,82.5,90.1,98.0,96.9,88.1,76.7,67.6,67.1,79.3
1958,61.1,58.8,66.4,78.8,85.6,92.6,95.8,97.0,87.4,75.1,71.0,61.3,77.7
1959,59.1,62.0,72.0,75.0,86.2,94.2,95.5,94.9,91.2,81.1,65.1,65.2,78.6
1960,58.9,60.8,65.9,79.5,84.9,94.8,93.1,92.5,90.2,81.8,68.6,56.5,77.3
1961,56.6,65.9,75.0,80.0,89.7,89.3,88.8,90.7,88.2,80.1,66.2,62.7,77.8
1962,57.6,75.0,70.9,79.8,88.2,90.9,98.9,98.5,89.8,86.3,71.1,61.6,80.7
1963,57.2,65.3,76.5,85.6,88.3,94.6,94.8,96.9,89.9,83.9,70.3,54.8,79.9
1964,62.0,58.4,70.6,80.8,87.5,92.0,97.1,96.3,88.1,77.9,71.9,62.9,78.8
1965,65.0,58.9,64.7,78.7,80.9,89.2,94.7,93.7,90.5,76.3,72.5,64.1,77.5
1966,56.0,60.8,70.5,81.0,83.2,90.7,95.2,92.7,87.7,81.4,76.9,65.3,78.5
1967,63.7,65.3,79.5,86.7,88.7,95.8,94.9,91.3,83.3,79.0,71.6,61.3,80.2
1968,58.5,57.6,65.7,74.9,85.3,89.1,M,95.1,83.9,82.3,69.5,64.5,M
1969,63.5,63.5,64.5,77.8,81.5,90.1,97.5,96.2,87.8,77.8,71.4,67.0,78.3
1970,55.2,65.5,67.7,80.3,83.3,88.7,95.2,95.3,87.1,77.1,71.3,70.2,78.2
1971,M,M,M,M,M,M,M,M,M,M,M,M,M
1972,M,M,M,M,M,M,M,M,M,M,M,M,M
1973,M,M,M,M,M,M,M,M,M,M,M,M,M
1974,M,M,M,M,M,M,M,M,M,M,M,M,M
1975,M,M,M,M,M,M,M,M,M,M,M,M,M
1976,M,M,M,M,M,M,M,M,M,M,M,M,M
1977,M,M,M,M,M,M,M,M,M,M,M,M,M
1978,M,M,M,M,M,M,M,M,M,M,M,M,M
1979,M,M,M,M,M,M,M,M,M,M,M,M,M
1980,M,M,M,M,M,M,M,M,M,M,M,M,M
1981,M,M,M,M,M,M,M,M,M,M,M,M,M
1982,M,M,M,M,M,M,M,M,M,M,M,M,M
1983,M,M,M,M,M,M,M,M,M,M,M,M,M
1984,M,M,M,M,M,M,M,M,M,M,M,M,M
1985,M,M,M,M,M,M,M,M,M,M,M,M,M
1986,M,M,M,M,M,M,M,M,M,M,M,M,M
1987,M,M,M,M,M,M,M,M,M,M,M,M,M
1988,M,M,M,M,M,M,M,M,M,M,M,M,M
1989,M,M,M,M,M,M,M,M,M,M,M,M,M
1990,M,M,M,M,M,M,M,M,M,M,M,M,M
1991,M,M,M,M,M,M,M,M,M,M,M,M,M
1992,M,M,M,M,M,M,M,M,M,M,M,M,M
1993,M,M,M,M,M,M,M,M,M,M,M,M,M
1994,M,M,M,M,M,M,M,M,M,M,M,M,M
1995,M,M,M,M,M,M,M,M,M,M,M,M,M
1996,M,M,M,M,M,M,M,M,M,M,M,M,M
1997,M,M,M,M,M,M,M,M,M,M,M,M,M
1998,M,M,M,M,M,M,M,M,M,M,M,M,M
1999,M,M,M,M,M,M,M,M,M,M,M,M,M
2000,M,M,M,M,M,M,M,M,M,M,M,M,M
2001,M,M,M,M,M,M,M,M,M,M,M,M,M
2002,M,M,M,M,M,M,M,M,M,M,M,M,M
2003,M,M,M,M,M,M,M,M,M,M,M,M,M
2004,M,M,M,M,M,M,M,M,M,M,M,M,M
2005,M,M,M,M,M,M,M,M,M,M,M,M,M
2006,M,M,M,M,M,M,M,M,M,M,M,M,M
2007,M,M,M,M,M,M,M,M,M,M,M,M,M
2008,M,M,M,M,M,M,M,M,M,M,M,M,M
2009,M,M,M,M,M,M,M,M,M,M,M,M,M
2010,M,M,M,M,M,M,M,M,M,M,M,M,M
2011,M,M,M,M,M,M,M,M,M,M,M,M,M
2012,M,M,M,M,M,M,M,M,M,M,M,M,M
2013,M,M,M,M,M,M,M,M,M,M,M,M,M
2014,M,M,M,M,M,M,M,M,M,M,M,M,M
2015,M,M,M,M,M,M,M,M,M,M,M,M,M
2016,M,M,M,M,M,M,M,M,M,M,M,M,M
2017,M,M,M,M,M,M,M,M,M,M,M,M,M
2018,M,M,M,M,M,97.8,98.2,98.1,M,77.2,67.5,64.7,M
2019,62.9,67.7,71.2,80.6,86.5,91.2,95.4,100.4,97.5,83.8,70.2,68.3,M
2020,68.4,67.5,79.7,81.7,90.6,92.7,99.5,99.9,88.9,85.8,77.4,68.6,M
2021,65.4,59.4,76.8,81.9,84.6,89.9,89.9,93.4,94.2,85.7,73.2,75.3,M
2022,63.7,64.4,77.6,85.7,94.7,99.6,100.9,96.6,93.5,84.5,69.4,65.7,83.0
2023,68.9,70.0,77.5,80.0,84.4,95.6,100.7,103.1,98.7,83.9,70.0,70.2,83.6
2024,61.5,72.3,77.1,84.7,92.9,97.7,95.5,101.1,95.5,91.7,80.8,72.0,85.2
2025,59.6,69.1,84.0,86.5,93.4,M,M,M,M,M,M,M,M

index,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Annual
Max,71.4,76.3,84.0,86.7,94.7,99.6,100.9,103.1,98.7,91.7,80.8,75.3,85.2
Min,55.2,57.6,64.5,74.9,80.9,88.7,88.8,90.7,83.3,75.1,65.1,54.8,77.3
Avg,62.66,66.10,73.56,80.82,87.09,93.01,96.13,96.45,90.60,82.17,71.41,65.68,80.45
Normals,64.10,69.62,75.20,81.90,88.59,93.01,95.90,96.80,91.79,84.20,71.80,65.09,81.50

