"Monthly Time Series Summary of Average Temperature (1940 - 2025), Stn: 12909"

Station:,SAN ANTONIO KELLY FIELD AFB,State:,TX,ID:,12909
Latitude:,29.38333 degreeN,Longitude:,98.58333 degreeW,Elevation:,690.0 feet
Station period of record:,avgt: 01/01/1949-06/04/2025

index,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Annual
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,M,M,M,M,M,M,M,M,M,M,M,M
1944,M,M,M,M,M,M,M,M,M,M,M,M,M
1945,M,M,M,M,M,M,M,M,M,M,M,M,M
1946,M,M,M,M,M,M,M,M,M,M,M,M,M
1947,M,M,M,M,M,M,M,M,M,M,M,M,M
1948,M,M,M,M,M,M,M,M,M,M,M,M,M
1949,47.19,58.41,63.77,66.20,79.15,82.18,84.35,84.27,82.42,71.85,64.38,57.87,70.48
1950,60.65,59.68,63.08,68.97,79.08,82.90,85.81,84.73,81.55,75.63,61.75,55.35,71.67
1951,53.08,56.32,64.16,70.55,76.69,83.15,87.55,88.10,81.82,74.35,59.67,57.48,71.17
1952,61.11,60.14,61.94,67.07,74.84,82.90,85.39,87.89,78.73,67.65,60.50,53.35,70.21
1953,57.97,56.96,70.00,71.35,77.98,87.18,88.02,85.87,79.85,72.41,60.63,50.79,71.67
1954,56.45,62.45,63.85,74.53,76.45,84.75,87.55,87.94,83.62,73.92,61.68,59.21,72.75
1955,54.32,57.20,66.19,74.80,79.82,82.73,85.37,85.56,82.53,72.06,61.13,55.37,71.53
1956,53.71,59.67,64.19,70.82,79.19,85.05,85.95,85.48,80.98,74.00,58.83,57.71,71.40
1957,54.19,63.79,63.16,67.53,74.44,81.58,86.89,86.29,78.00,67.60,58.52,56.69,70.07
1958,51.05,50.80,56.90,69.07,76.27,83.72,85.87,86.35,80.28,68.53,62.03,51.44,68.62
1959,49.37,53.57,59.16,65.12,77.08,83.43,84.37,84.81,81.88,70.10,52.67,54.29,68.08
1960,49.61,49.19,55.55,68.83,74.32,83.60,83.44,83.50,77.72,72.42,60.57,48.27,67.29
1961,45.94,54.04,63.82,67.45,78.39,80.15,80.45,80.27,78.93,69.10,56.43,52.66,67.37
1962,44.92,62.50,58.45,69.23,77.48,81.62,86.77,86.68,80.30,75.69,59.60,51.63,69.60
1963,45.53,52.18,65.06,74.52,78.42,84.12,84.65,85.81,80.17,73.02,61.45,45.02,69.24
1964,49.89,48.97,59.68,71.17,77.68,81.48,85.84,85.74,79.78,65.76,62.37,51.98,68.41
1965,53.85,49.77,54.44,70.57,74.13,80.27,83.39,82.79,80.27,66.00,63.83,55.79,68.01
1966,46.40,50.38,60.44,70.60,75.12,80.72,85.21,83.60,78.52,69.21,65.25,52.47,68.18
1967,51.77,54.04,68.27,77.25,77.40,85.07,84.65,81.55,75.52,68.02,61.93,51.77,69.82
1968,50.40,48.16,56.53,67.05,77.26,81.38,M,84.79,74.67,71.72,57.48,52.55,M
1969,54.05,54.46,55.29,68.65,73.03,80.68,86.45,85.35,78.60,69.39,60.08,55.90,68.63
1970,46.10,55.59,57.87,71.05,73.50,79.93,85.79,85.10,79.38,66.90,57.45,59.59,68.36
1971,M,M,M,M,M,M,M,M,M,M,M,M,M
1972,M,M,M,M,M,M,M,M,M,M,M,M,M
1973,M,M,M,M,M,M,M,M,M,M,M,M,M
1974,M,M,M,M,M,M,M,M,M,M,M,M,M
1975,M,M,M,M,M,M,M,M,M,M,M,M,M
1976,M,M,M,M,M,M,M,M,M,M,M,M,M
1977,M,M,M,M,M,M,M,M,M,M,M,M,M
1978,M,M,M,M,M,M,M,M,M,M,M,M,M
1979,M,M,M,M,M,M,M,M,M,M,M,M,M
1980,M,M,M,M,M,M,M,M,M,M,M,M,M
1981,M,M,M,M,M,M,M,M,M,M,M,M,M
1982,M,M,M,M,M,M,M,M,M,M,M,M,M
1983,M,M,M,M,M,M,M,M,M,M,M,M,M
1984,M,M,M,M,M,M,M,M,M,M,M,M,M
1985,M,M,M,M,M,M,M,M,M,M,M,M,M
1986,M,M,M,M,M,M,M,M,M,M,M,M,M
1987,M,M,M,M,M,M,M,M,M,M,M,M,M
1988,M,M,M,M,M,M,M,M,M,M,M,M,M
1989,M,M,M,M,M,M,M,M,M,M,M,M,M
1990,M,M,M,M,M,M,M,M,M,M,M,M,M
1991,M,M,M,M,M,M,M,M,M,M,M,M,M
1992,M,M,M,M,M,M,M,M,M,M,M,M,M
1993,M,M,M,M,M,M,M,M,M,M,M,M,M
1994,M,M,M,M,M,M,M,M,M,M,M,M,M
1995,M,M,M,M,M,M,M,M,M,M,M,M,M
1996,M,M,M,M,M,M,M,M,M,M,M,M,M
1997,M,M,M,M,M,M,M,M,M,M,M,M,M
1998,M,M,M,M,M,M,M,M,M,M,M,M,M
1999,M,M,M,M,M,M,M,M,M,M,M,M,M
2000,M,M,M,M,M,M,M,M,M,M,M,M,M
2001,M,M,M,M,M,M,M,M,M,M,M,M,M
2002,M,M,M,M,M,M,M,M,M,M,M,M,M
2003,M,M,M,M,M,M,M,M,M,M,M,M,M
2004,M,M,M,M,M,M,M,M,M,M,M,M,M
2005,M,M,M,M,M,M,M,M,M,M,M,M,M
2006,M,M,M,M,M,M,M,M,M,M,M,M,M
2007,M,M,M,M,M,M,M,M,M,M,M,M,M
2008,M,M,M,M,M,M,M,M,M,M,M,M,M
2009,M,M,M,M,M,M,M,M,M,M,M,M,M
2010,M,M,M,M,M,M,M,M,M,M,M,M,M
2011,M,M,M,M,M,M,M,M,M,M,M,M,M
2012,M,M,M,M,M,M,M,M,M,M,M,M,M
2013,M,M,M,M,M,M,M,M,M,M,M,M,M
2014,M,M,M,M,M,M,M,M,M,M,M,M,M
2015,M,M,M,M,M,M,M,M,M,M,M,M,M
2016,M,M,M,M,M,M,M,M,M,M,M,M,M
2017,M,M,M,M,M,M,M,M,M,M,M,M,M
2018,M,M,M,M,M,86.79,86.32,86.76,M,69.78,57.20,53.77,M
2019,52.36,58.69,62.50,68.60,77.89,81.68,84.95,88.87,86.20,72.05,58.07,54.32,M
2020,57.61,55.14,69.68,69.79,78.29,82.28,87.90,87.57,78.97,73.17,65.12,53.92,M
2021,52.38,49.76,64.94,71.23,75.79,81.47,81.94,84.03,81.62,73.74,61.03,64.40,M
2022,50.52,49.95,61.55,74.43,82.92,86.58,88.40,86.00,81.82,71.76,60.20,55.10,70.79
2023,56.37,57.23,66.85,69.13,75.50,84.86,88.45,89.79,86.65,73.31,61.15,57.61,72.30
2024,49.74,60.86,66.52,73.83,83.00,87.17,85.77,89.40,84.23,78.74,68.08,61.68,74.08
2025,49.23,57.73,69.90,75.22,81.66,M,M,M,M,M,M,M,M

index,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Annual
Max,61.11,63.79,70.00,77.25,83.00,87.18,88.45,89.79,86.65,78.74,68.08,64.40,74.08
Min,44.92,48.16,54.44,65.12,73.03,79.93,80.45,80.27,74.67,65.76,52.67,45.02,67.29
Avg,51.922,55.435,62.543,70.504,77.337,83.085,85.624,85.686,80.536,71.306,60.658,54.758,69.988
Normals,52.552,56.773,63.552,70.207,77.458,82.397,84.848,85.497,80.693,72.297,60.343,53.148,70.000

